,cl,coupling,d,exp,gdm,gq,lam,m1s,m2s,mchi,md,mdm,mlq,mmed,mphi,obs,p1s,p2s,tag,ylq
0,0.9,axial,,1.828125,1.0,0.25,,1.2657623291015625,0.9283447265625,,,100.0,,250.0,,2.6649707378933654,2.6616909503936768,3.719928741455078,axial_mmed250_mdm100_gq0p25_gdm1p0,
0,0.95,axial,,54.9375,1.0,0.25,,39.375675201416016,29.400146484375,,,150.0,,250.0,,90.24098588935952,77.93074035644531,106.82711791992188,axial_mmed250_mdm150_gq0p25_gdm1p0,
0,0.9,axial,,45.875,1.0,0.25,,31.7630615234375,23.2958984375,,,150.0,,250.0,,79.59961720801974,67.2282943725586,95.06554412841797,axial_mmed250_mdm150_gq0p25_gdm1p0,
0,0.95,axial,,0.87109375,1.0,0.25,,0.6232807636260986,0.469573974609375,,,1.0,,250.0,,1.1197331010037157,1.2287321090698242,1.6669774055480957,axial_mmed250_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,0.7265625,1.0,0.25,,0.5048332214355469,0.371795654296875,,,1.0,,250.0,,0.9591005635522294,1.0613024234771729,1.4864674806594849,axial_mmed250_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,1.23046875,1.0,0.25,,0.8819210529327393,0.6584930419921875,,,75.0,,250.0,,2.0612503924529912,1.7356529235839844,2.35469913482666,axial_mmed250_mdm75_gq0p25_gdm1p0,
0,0.9,axial,,1.02734375,1.0,0.25,,0.7152655124664307,0.521697998046875,,,75.0,,250.0,,1.8188850511406747,1.5006587505340576,2.0939228534698486,axial_mmed250_mdm75_gq0p25_gdm1p0,
0,0.95,axial,,2.515625,1.0,0.25,,1.79390287399292,1.34625244140625,,,150.0,,500.0,,3.845749208046163,3.5584733486175537,4.868927955627441,axial_mmed500_mdm150_gq0p25_gdm1p0,
0,0.9,axial,,2.1015625,1.0,0.25,,1.4550857543945312,1.06719970703125,,,150.0,,500.0,,3.368180389648311,3.069788694381714,4.31574821472168,axial_mmed500_mdm150_gq0p25_gdm1p0,
0,0.95,axial,,1.6484375,1.0,0.25,,1.1794819831848145,0.88861083984375,,,1.0,,500.0,,2.5150329654836354,2.3383655548095703,3.205421209335327,axial_mmed500_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,1.37890625,1.0,0.25,,0.9547309875488281,0.700225830078125,,,1.0,,500.0,,2.1949650609654006,2.0207414627075195,2.8362877368927,axial_mmed500_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,4.71875,1.0,0.25,,3.3649606704711914,2.5252685546875,,,200.0,,500.0,,7.753523150246126,6.674900531768799,9.103042602539062,axial_mmed500_mdm200_gq0p25_gdm1p0,
0,0.9,axial,,3.9374999999999996,1.0,0.25,,2.72625732421875,1.99951171875,,,200.0,,500.0,,6.82606132001978,5.751574516296387,8.08601188659668,axial_mmed500_mdm200_gq0p25_gdm1p0,
0,0.95,axial,,214.5,1.0,0.25,,153.229248046875,113.953125,,,300.0,,500.0,,343.65368243993396,305.1306457519531,420.3894958496094,axial_mmed500_mdm300_gq0p25_gdm1p0,
0,0.9,axial,,178.5,1.0,0.25,,123.59033203125,90.64453125,,,300.0,,500.0,,301.9219767479359,262.4336853027344,373.2225646972656,axial_mmed500_mdm300_gq0p25_gdm1p0,
0,0.95,axial,,3.421875,1.0,0.25,,2.4444351196289062,1.81787109375,,,1.0,,750.0,,5.263794244124652,4.854047775268555,6.653907299041748,axial_mmed750_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,2.84375,1.0,0.25,,1.968963623046875,1.444091796875,,,1.0,,750.0,,4.616239219672578,4.180928707122803,5.902366638183594,axial_mmed750_mdm1_gq0p25_gdm1p0,
0,0.95,vector,,6.625,1.0,0.25,,4.73260498046875,3.51953125,,,1.0,,1000.0,,11.638747606478958,9.450606346130371,13.08525276184082,vector_mmed1000_mdm1_gq0p25_gdm1p0,
0,0.9,vector,,5.515625,1.0,0.25,,3.8189239501953125,2.8009033203125,,,1.0,,1000.0,,10.307044015234807,8.135360717773438,11.550432205200195,vector_mmed1000_mdm1_gq0p25_gdm1p0,
0,0.95,vector,,7.03125,1.0,0.25,,5.0228118896484375,3.7353515625,,,300.0,,1000.0,,11.537214846664027,10.03012466430664,13.887650489807129,vector_mmed1000_mdm300_gq0p25_gdm1p0,
0,0.9,vector,,5.859375,1.0,0.25,,4.0569305419921875,2.9754638671875,,,300.0,,1000.0,,10.12407881915022,8.614550590515137,12.251265525817871,vector_mmed1000_mdm300_gq0p25_gdm1p0,
0,0.95,vector,,7.9375,1.0,0.25,,5.670196533203125,4.216796875,,,400.0,,1000.0,,14.311169221883118,11.322896003723145,15.627559661865234,vector_mmed1000_mdm400_gq0p25_gdm1p0,
0,0.9,vector,,6.625,1.0,0.25,,4.5870361328125,3.3642578125,,,400.0,,1000.0,,12.71665829905359,9.740185737609863,13.852097511291504,vector_mmed1000_mdm400_gq0p25_gdm1p0,
0,0.95,vector,,422.0,1.0,0.25,,299.91259765625,224.1875,,,600.0,,1000.0,,742.2283513265927,603.6679077148438,839.925537109375,vector_mmed1000_mdm600_gq0p25_gdm1p0,
0,0.9,vector,,351.0,1.0,0.25,,243.0263671875,178.2421875,,,600.0,,1000.0,,657.1541099531837,519.3803100585938,741.5321044921875,vector_mmed1000_mdm600_gq0p25_gdm1p0,
0,0.95,vector,,25.125,1.0,0.25,,18.067794799804688,13.5439453125,,,100.0,,100.0,,38.518493340951956,35.64067840576172,48.53764343261719,vector_mmed100_mdm100_gq0p25_gdm1p0,
0,0.9,vector,,21.0,1.0,0.25,,14.62078857421875,10.6640625,,,100.0,,100.0,,33.686105349966546,30.77480697631836,43.19513702392578,vector_mmed100_mdm100_gq0p25_gdm1p0,
0,0.95,vector,,48.0,1.0,0.25,,34.4033203125,25.6875,,,150.0,,100.0,,70.5604701728906,67.89832305908203,92.90277099609375,vector_mmed100_mdm150_gq0p25_gdm1p0,
0,0.9,vector,,40.0,1.0,0.25,,27.84912109375,20.3125,,,150.0,,100.0,,61.457142281982286,58.61867904663086,82.58369445800781,vector_mmed100_mdm150_gq0p25_gdm1p0,
0,0.95,vector,,0.60546875,1.0,0.25,,0.43540239334106445,0.326385498046875,,,1.0,,100.0,,0.956275938157307,0.8516380190849304,1.1492623090744019,vector_mmed100_mdm1_gq0p25_gdm1p0,
0,0.9,vector,,0.505859375,1.0,0.25,,0.3527183532714844,0.260833740234375,,,1.0,,100.0,,0.839222003812342,0.7389175295829773,1.0310380458831787,vector_mmed100_mdm1_gq0p25_gdm1p0,
0,0.95,vector,,80.5,1.0,0.25,,57.505615234375,42.765625,,,200.0,,100.0,,143.1151131822406,114.19202423095703,156.533935546875,vector_mmed100_mdm200_gq0p25_gdm1p0,
0,0.9,vector,,67.0,1.0,0.25,,46.3896484375,34.0234375,,,200.0,,100.0,,127.03112940960075,98.5045166015625,139.06234741210938,vector_mmed100_mdm200_gq0p25_gdm1p0,
0,0.95,vector,,0.630859375,1.0,0.25,,0.4536612033843994,0.3400726318359375,,,30.0,,100.0,,0.9083948361269971,0.88483726978302,1.195698857307434,vector_mmed100_mdm30_gq0p25_gdm1p0,
0,0.9,vector,,0.52734375,1.0,0.25,,0.36715149879455566,0.267791748046875,,,30.0,,100.0,,0.7890193923719274,0.7677954435348511,1.0730563402175903,vector_mmed100_mdm30_gq0p25_gdm1p0,
0,0.95,vector,,0.666015625,1.0,0.25,,0.47654426097869873,0.3590240478515625,,,40.0,,100.0,,1.1988874536252474,0.93414705991745,1.2623322010040283,vector_mmed100_mdm40_gq0p25_gdm1p0,
0,0.9,vector,,0.556640625,1.0,0.25,,0.3875488042831421,0.2826690673828125,,,40.0,,100.0,,1.0666218565303294,0.8104507327079773,1.1326706409454346,vector_mmed100_mdm40_gq0p25_gdm1p0,
0,0.95,vector,,0.7578125,1.0,0.25,,0.5449552536010742,0.40850830078125,,,45.0,,100.0,,1.2010042750712229,1.062900424003601,1.436319351196289,vector_mmed100_mdm45_gq0p25_gdm1p0,
0,0.9,vector,,0.6328125,1.0,0.25,,0.4412384033203125,0.3262939453125,,,45.0,,100.0,,1.0541010713711307,0.9243601560592651,1.289792776107788,vector_mmed100_mdm45_gq0p25_gdm1p0,
0,0.95,vector,,6.71875,1.0,0.25,,4.791169166564941,3.5955810546875,,,55.0,,100.0,,9.979191213923361,9.423653602600098,12.8203706741333,vector_mmed100_mdm55_gq0p25_gdm1p0,
0,0.9,vector,,5.59375,1.0,0.25,,3.8945255279541016,2.840576171875,,,55.0,,100.0,,8.680752056949018,8.17088794708252,11.401131629943848,vector_mmed100_mdm55_gq0p25_gdm1p0,
0,0.95,vector,,9.625,1.0,0.25,,6.886833190917969,5.1884765625,,,60.0,,100.0,,16.034245391321647,13.57666301727295,18.480274200439453,vector_mmed100_mdm60_gq0p25_gdm1p0,
0,0.9,vector,,8.0625,1.0,0.25,,5.58233642578125,4.09423828125,,,60.0,,100.0,,14.09757368108631,11.777033805847168,16.43291473388672,vector_mmed100_mdm60_gq0p25_gdm1p0,
0,0.95,vector,,14.0625,1.0,0.25,,10.061931610107422,7.58056640625,,,70.0,,100.0,,18.72913344842314,19.836034774780273,26.910846710205078,vector_mmed100_mdm70_gq0p25_gdm1p0,
0,0.9,vector,,11.75,1.0,0.25,,8.180679321289062,5.966796875,,,70.0,,100.0,,16.10903430861451,17.163429260253906,24.039215087890625,vector_mmed100_mdm70_gq0p25_gdm1p0,
0,0.95,vector,,12.5625,1.0,0.25,,8.928085327148438,6.673828125,,,1.0,,1250.0,,21.56590676458842,17.920488357543945,24.81260108947754,vector_mmed1250_mdm1_gq0p25_gdm1p0,
0,0.9,vector,,10.4375,1.0,0.25,,7.22674560546875,5.30029296875,,,1.0,,1250.0,,19.025039710759646,15.394960403442383,21.85747528076172,vector_mmed1250_mdm1_gq0p25_gdm1p0,
0,0.95,vector,,22.3125,1.0,0.25,,15.857345581054688,11.853515625,,,1.0,,1500.0,,37.13322740959643,31.828927993774414,44.3515510559082,vector_mmed1500_mdm1_gq0p25_gdm1p0,
0,0.9,vector,,18.5625,1.0,0.25,,12.85235595703125,9.42626953125,,,1.0,,1500.0,,32.636930414766546,27.467227935791016,39.074092864990234,vector_mmed1500_mdm1_gq0p25_gdm1p0,
0,0.95,vector,,23.0,1.0,0.25,,16.345947265625,12.21875,,,450.0,,1500.0,,40.48809757791459,32.901329040527344,45.777931213378906,vector_mmed1500_mdm450_gq0p25_gdm1p0,
0,0.9,vector,,19.125,1.0,0.25,,13.2418212890625,9.7119140625,,,450.0,,1500.0,,35.74049997938262,28.29956817626953,40.403995513916016,vector_mmed1500_mdm450_gq0p25_gdm1p0,
0,0.95,vector,,27.375,1.0,0.25,,19.55548095703125,14.54296875,,,600.0,,1500.0,,47.755510745657816,39.26885223388672,54.55686950683594,vector_mmed1500_mdm600_gq0p25_gdm1p0,
0,0.9,vector,,22.875,1.0,0.25,,15.8382568359375,11.6162109375,,,600.0,,1500.0,,42.10598761382866,33.73985290527344,48.07806396484375,vector_mmed1500_mdm600_gq0p25_gdm1p0,
0,0.95,vector,,2077.0,1.0,0.25,,1476.110107421875,1103.40625,,,900.0,,1500.0,,3753.188357729028,2979.412109375,4165.41259765625,vector_mmed1500_mdm900_gq0p25_gdm1p0,
0,0.9,vector,,1725.0000000000002,1.0,0.25,,1194.3603515625,875.9765625,,,900.0,,1500.0,,3322.578510840269,2552.510009765625,3670.589599609375,vector_mmed1500_mdm900_gq0p25_gdm1p0,
0,0.95,vector,,37.875,1.0,0.25,,26.917510986328125,20.12109375,,,1.0,,1750.0,,66.89175667594955,54.179908752441406,75.38430786132812,vector_mmed1750_mdm1_gq0p25_gdm1p0,
0,0.9,vector,,31.499999999999996,1.0,0.25,,21.81005859375,15.99609375,,,1.0,,1750.0,,58.99202859925517,46.611053466796875,66.5477523803711,vector_mmed1750_mdm1_gq0p25_gdm1p0,
0,0.9,vector,,2554.0,1.0,0.25,,1768.345703125,1296.953125,,,1100.0,,2000.0,,4883.187781831188,3791.3251953125,5442.703125,vector_mmed2000_mdm1100_gq0p25_gdm1p0,
0,0.95,vector,,63.5,1.0,0.25,,45.1290283203125,33.734375,,,1.0,,2000.0,,108.83593847825327,91.08939361572266,127.34892272949219,vector_mmed2000_mdm1_gq0p25_gdm1p0,
0,0.9,vector,,52.75000000000001,1.0,0.25,,36.523193359375,26.787109375,,,1.0,,2000.0,,95.71328715183476,78.05501556396484,112.24555969238281,vector_mmed2000_mdm1_gq0p25_gdm1p0,
0,0.95,vector,,65.0,1.0,0.25,,46.195068359375,34.53125,,,200.0,,2000.0,,109.78704135996765,93.2411117553711,129.9492950439453,vector_mmed2000_mdm200_gq0p25_gdm1p0,
0,0.9,vector,,54.00000000000001,1.0,0.25,,37.388671875,27.421875,,,200.0,,2000.0,,96.41847511990258,79.9046630859375,114.49363708496094,vector_mmed2000_mdm200_gq0p25_gdm1p0,
0,0.95,vector,,65.5,1.0,0.25,,46.5504150390625,34.796875,,,400.0,,2000.0,,116.12287094022253,93.697265625,130.36758422851562,vector_mmed2000_mdm400_gq0p25_gdm1p0,
0,0.9,vector,,54.25,1.0,0.25,,37.561767578125,27.548828125,,,400.0,,2000.0,,102.37007399164904,80.53225708007812,115.19682312011719,vector_mmed2000_mdm400_gq0p25_gdm1p0,
0,0.95,vector,,70.25,1.0,0.25,,49.92620849609375,37.3203125,,,600.0,,2000.0,,123.0158810428775,100.77212524414062,140.88601684570312,vector_mmed2000_mdm600_gq0p25_gdm1p0,
0,0.9,vector,,58.5,1.0,0.25,,40.50439453125,29.70703125,,,600.0,,2000.0,,108.45379478571289,86.56338500976562,123.58868408203125,vector_mmed2000_mdm600_gq0p25_gdm1p0,
0,0.95,vector,,81.25,1.0,0.25,,57.74383544921875,43.1640625,,,800.0,,2000.0,,143.64959417639542,116.5513916015625,162.43663024902344,vector_mmed2000_mdm800_gq0p25_gdm1p0,
0,0.9,vector,,67.5,1.0,0.25,,46.73583984375,34.27734375,,,800.0,,2000.0,,126.54402355630207,99.88082885742188,143.11705017089844,vector_mmed2000_mdm800_gq0p25_gdm1p0,
0,0.95,vector,,96.75,1.0,0.25,,68.75958251953125,51.3984375,,,900.0,,2000.0,,167.22131118405608,138.7858123779297,194.03163146972656,vector_mmed2000_mdm900_gq0p25_gdm1p0,
0,0.9,vector,,80.5,1.0,0.25,,55.427276611328125,40.87890625,,,900.0,,2000.0,,147.21882270263467,119.11713409423828,170.68032836914062,vector_mmed2000_mdm900_gq0p25_gdm1p0,
0,0.95,vector,,112.75,1.0,0.25,,80.13067626953125,59.8984375,,,1.0,,2250.0,,199.25371744591598,161.7374725341797,224.70455932617188,vector_mmed2250_mdm1_gq0p25_gdm1p0,
0,0.9,vector,,93.5,1.0,0.25,,64.73779296875,47.48046875,,,1.0,,2250.0,,175.56991854467486,138.3534393310547,198.9565887451172,vector_mmed2250_mdm1_gq0p25_gdm1p0,
0,0.95,vector,,230.5,1.0,0.25,,163.8148193359375,122.453125,,,1000.0,,2500.0,,396.96564775348054,330.6473388671875,462.2665710449219,vector_mmed2500_mdm1000_gq0p25_gdm1p0,
0,0.9,vector,,191.5,1.0,0.25,,132.59130859375,97.24609375,,,1000.0,,2500.0,,348.797686804694,283.3656005859375,407.4886169433594,vector_mmed2500_mdm1000_gq0p25_gdm1p0,
